Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2000,1,Ciutat Vella,1,el Raval,1,1001,27
2000,1,Ciutat Vella,1,el Raval,1,1002,31
2000,1,Ciutat Vella,1,el Raval,2,1003,46
2000,1,Ciutat Vella,1,el Raval,2,1004,53
2000,1,Ciutat Vella,1,el Raval,3,1005,42
2000,1,Ciutat Vella,1,el Raval,3,1006,34
2000,1,Ciutat Vella,1,el Raval,3,1007,28
2000,1,Ciutat Vella,1,el Raval,4,1008,37
2000,1,Ciutat Vella,1,el Raval,4,1009,32
2000,1,Ciutat Vella,1,el Raval,4,1010,52
2000,1,Ciutat Vella,1,el Raval,5,1011,60
2000,1,Ciutat Vella,1,el Raval,5,1012,25
2000,1,Ciutat Vella,1,el Raval,5,1013,28
2000,1,Ciutat Vella,1,el Raval,6,1014,20
2000,1,Ciutat Vella,1,el Raval,6,1015,40
2000,1,Ciutat Vella,1,el Raval,6,1016,41
2000,1,Ciutat Vella,1,el Raval,6,1017,45
2000,1,Ciutat Vella,1,el Raval,7,1018,21
2000,1,Ciutat Vella,1,el Raval,7,1019,51
2000,1,Ciutat Vella,1,el Raval,7,1020,53
2000,1,Ciutat Vella,1,el Raval,8,1021,51
2000,1,Ciutat Vella,2,el Barri Gòtic,9,1022,28
2000,1,Ciutat Vella,2,el Barri Gòtic,9,1023,171
2000,1,Ciutat Vella,2,el Barri Gòtic,10,1025,33
2000,1,Ciutat Vella,2,el Barri Gòtic,10,1026,12
2000,1,Ciutat Vella,2,el Barri Gòtic,10,1027,35
2000,1,Ciutat Vella,2,el Barri Gòtic,11,1028,51
2000,1,Ciutat Vella,2,el Barri Gòtic,11,1029,24
2000,1,Ciutat Vella,2,el Barri Gòtic,12,1030,56
2000,1,Ciutat Vella,2,el Barri Gòtic,12,1031,42
2000,1,Ciutat Vella,3,la Barceloneta,13,1032,37
2000,1,Ciutat Vella,3,la Barceloneta,13,1033,24
2000,1,Ciutat Vella,3,la Barceloneta,13,1034,25
2000,1,Ciutat Vella,3,la Barceloneta,14,1035,31
2000,1,Ciutat Vella,3,la Barceloneta,14,1036,17
2000,1,Ciutat Vella,3,la Barceloneta,15,1037,16
2000,1,Ciutat Vella,3,la Barceloneta,15,1038,24
2000,1,Ciutat Vella,3,la Barceloneta,15,1039,38
2000,1,Ciutat Vella,3,la Barceloneta,15,1040,18
2000,1,Ciutat Vella,3,la Barceloneta,15,1041,34
2000,1,Ciutat Vella,3,la Barceloneta,15,1042,26
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,32
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,30
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,32
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,34
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,37
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,36
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,36
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,46
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,33
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,66
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,45
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,27
2000,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,30
2000,2,Eixample,5,el Fort Pienc,20,2001,12
2000,2,Eixample,5,el Fort Pienc,20,2002,28
2000,2,Eixample,5,el Fort Pienc,20,2003,12
2000,2,Eixample,5,el Fort Pienc,20,2004,27
2000,2,Eixample,5,el Fort Pienc,20,2005,22
2000,2,Eixample,5,el Fort Pienc,20,2006,24
2000,2,Eixample,5,el Fort Pienc,20,2007,31
2000,2,Eixample,5,el Fort Pienc,20,2008,25
2000,2,Eixample,5,el Fort Pienc,20,2009,25
2000,2,Eixample,5,el Fort Pienc,21,2010,17
2000,2,Eixample,5,el Fort Pienc,21,2011,23
2000,2,Eixample,5,el Fort Pienc,21,2012,26
2000,2,Eixample,5,el Fort Pienc,21,2013,12
2000,2,Eixample,5,el Fort Pienc,22,2014,28
2000,2,Eixample,5,el Fort Pienc,22,2015,34
2000,2,Eixample,5,el Fort Pienc,22,2016,48
2000,2,Eixample,5,el Fort Pienc,22,2017,22
2000,2,Eixample,5,el Fort Pienc,22,2018,26
2000,2,Eixample,5,el Fort Pienc,22,2019,24
2000,2,Eixample,5,el Fort Pienc,22,2020,29
2000,2,Eixample,6,la Sagrada Família,23,2021,26
2000,2,Eixample,6,la Sagrada Família,23,2022,16
2000,2,Eixample,6,la Sagrada Família,23,2023,15
2000,2,Eixample,6,la Sagrada Família,23,2024,31
2000,2,Eixample,6,la Sagrada Família,24,2025,25
2000,2,Eixample,6,la Sagrada Família,24,2026,35
2000,2,Eixample,6,la Sagrada Família,24,2027,22
2000,2,Eixample,6,la Sagrada Família,24,2028,34
2000,2,Eixample,6,la Sagrada Família,24,2029,22
2000,2,Eixample,6,la Sagrada Família,24,2030,21
2000,2,Eixample,6,la Sagrada Família,24,2031,24
2000,2,Eixample,6,la Sagrada Família,24,2032,7
2000,2,Eixample,6,la Sagrada Família,25,2033,18
2000,2,Eixample,6,la Sagrada Família,25,2034,22
2000,2,Eixample,6,la Sagrada Família,25,2035,22
2000,2,Eixample,6,la Sagrada Família,25,2036,16
2000,2,Eixample,6,la Sagrada Família,25,2037,21
2000,2,Eixample,6,la Sagrada Família,25,2038,25
2000,2,Eixample,6,la Sagrada Família,25,2039,13
2000,2,Eixample,6,la Sagrada Família,25,2040,11
2000,2,Eixample,6,la Sagrada Família,26,2041,18
2000,2,Eixample,6,la Sagrada Família,26,2042,16
2000,2,Eixample,6,la Sagrada Família,26,2043,12
2000,2,Eixample,6,la Sagrada Família,26,2044,18
2000,2,Eixample,6,la Sagrada Família,26,2045,18
2000,2,Eixample,6,la Sagrada Família,26,2046,28
2000,2,Eixample,6,la Sagrada Família,26,2047,29
2000,2,Eixample,6,la Sagrada Família,26,2048,16
2000,2,Eixample,6,la Sagrada Família,27,2049,30
2000,2,Eixample,6,la Sagrada Família,27,2050,30
2000,2,Eixample,6,la Sagrada Família,27,2051,35
2000,2,Eixample,6,la Sagrada Família,27,2052,35
2000,2,Eixample,6,la Sagrada Família,27,2053,39
2000,2,Eixample,6,la Sagrada Família,27,2054,43
2000,2,Eixample,7,la Dreta de l'Eixample,28,2055,25
2000,2,Eixample,7,la Dreta de l'Eixample,28,2056,29
2000,2,Eixample,7,la Dreta de l'Eixample,28,2057,11
2000,2,Eixample,7,la Dreta de l'Eixample,28,2058,26
2000,2,Eixample,7,la Dreta de l'Eixample,28,2059,22
2000,2,Eixample,7,la Dreta de l'Eixample,28,2060,13
2000,2,Eixample,7,la Dreta de l'Eixample,29,2061,32
2000,2,Eixample,7,la Dreta de l'Eixample,29,2062,24
2000,2,Eixample,7,la Dreta de l'Eixample,29,2063,23
2000,2,Eixample,7,la Dreta de l'Eixample,29,2064,18
2000,2,Eixample,7,la Dreta de l'Eixample,29,2065,26
2000,2,Eixample,7,la Dreta de l'Eixample,30,2066,20
2000,2,Eixample,7,la Dreta de l'Eixample,30,2067,51
2000,2,Eixample,7,la Dreta de l'Eixample,30,2068,16
2000,2,Eixample,7,la Dreta de l'Eixample,30,2069,22
2000,2,Eixample,7,la Dreta de l'Eixample,31,2070,20
2000,2,Eixample,7,la Dreta de l'Eixample,31,2071,46
2000,2,Eixample,7,la Dreta de l'Eixample,31,2072,16
2000,2,Eixample,7,la Dreta de l'Eixample,32,2073,21
2000,2,Eixample,7,la Dreta de l'Eixample,32,2074,29
2000,2,Eixample,7,la Dreta de l'Eixample,32,2075,12
2000,2,Eixample,7,la Dreta de l'Eixample,32,2076,28
2000,2,Eixample,7,la Dreta de l'Eixample,33,2077,29
2000,2,Eixample,7,la Dreta de l'Eixample,34,2078,33
2000,2,Eixample,7,la Dreta de l'Eixample,34,2079,16
2000,2,Eixample,7,la Dreta de l'Eixample,35,2080,33
2000,2,Eixample,7,la Dreta de l'Eixample,35,2081,35
2000,2,Eixample,7,la Dreta de l'Eixample,36,2082,15
2000,2,Eixample,7,la Dreta de l'Eixample,36,2083,34
